,asm_id,Class
0,bUAOl6u0gwLvqxBHJjeV,1
1,4bP0fpWK9ygln6RwLCmY,2
2,ej60US1l5DPCKGpvRFyw,0
3,7Ff4uMQibABUks59xnpV,0
4,ipjWCvhBI3UO6sr1gGZE,1
5,0H63jydvIahOVqgx5Kfo,1
6,aNRflB3AsYTuZhWHQL4z,0
7,F9anDBr3jyHNzhfSloPq,2
8,jturxUFyJCADf4Iaw5q0,1
9,AKjOotcur402wSEaihk1,0
10,G8nd3QDysqeJ75mM0uTZ,0
11,8IvKHQxUmoe2CBwatuOi,1
12,dNv6ET2GrVMDt9AFjI73,2
13,hX5Wt9cTyUnO0ZJ3DElM,2
14,AFvUmeRdpGXSycwn706I,1
15,8d3ZxEPril4pz1oTH9Jm,2
16,chVqtrzIORSJkCwu2KfQ,0
17,J1chft4QPrzWisaqREj8,0
18,axVyZFikJAs2RWgrB37u,1
19,aFdmMqJO9zSI61pXLoTQ,0
20,7qQDOvVX1PipRLyBdNhW,0
21,FQoVzMSR1ub35GBHcUCO,1
22,6teIPpCrYKw0zFusDSix,0
23,74WkCP2cquVeLyU5hgTz,1
24,23DYuzrdOnl7UFyCAtk5,2
25,B0REvwUqT4QIh8pinM1f,1
26,Bb6vTaRMcG5Z39kPCQHg,1
27,cMF56QT2zH7t1KpfAy8e,0
28,kFNUMtrqmTPOoEWzhbpx,1
29,fduMbSetTV83BRx6KJQl,1
30,eBDOvM4fUQmy0XEhracH,1
31,BIHLcoqT27fn5bgJsGvr,0
32,Ee9al8AhjSKcZzxyRDw3,0
33,CqRphLNQa7KiTx8sdYgZ,0
34,9PjuhOrlRqxHeQcEBYMX,0
35,crKuOS7kqIQwsCN6Z0az,0
36,FEA6d5CzUyqoZPS8tfQk,1
37,cb72yvfjMuQkKZERh5UP,0
38,7iBwyZQ5kxGEjPN9fThM,1
39,5znLPJCcVseR4NTd79Sw,1
40,iED1fIxnGyWRLuYNvl9s,0
41,K4IXeqoLWvYJwg8thdrx,0
42,hmMISGQjc97JwvlXixWT,0
43,Jryaub7PNRt1h6nDzfvW,0
44,gdMSLJ5UZmtPpN8W3ja6,2
45,cuNE2eL7XtkbJQw50zsW,0
46,a8gqeKmEjbJIiVXUZ5DH,1
47,5iJsI0VCgF2D1Gukdayc,1
48,0pqtVjvLk89PdYr5MwZO,1
49,bSKx5RYr13dPteiJFgmU,2
50,4HDpbwyfumP9o3Cx8R0e,1
51,6ZpMEfH0nyKexuT7YPQm,0
52,aeTUd9EJmopQlDxbzuZO,1
53,FVnieLKxNCw0pI5JEoqy,0
54,421g5mO6zfBFPM8KwXh9,0
55,7JjsOZzyXR9ScewIoMTp,1
